"state","stage","features","regions","invalid","has_offset_file","nonzero_offsets","mean_offset_m","max_offset_m","max_overlap_m2","max_overlap_pct","overlap_pair"
"nv","manual_offsets",71,3,0,TRUE,0,0,0,0,0,""
"ny","manual_offsets",1014,5,0,TRUE,4,20479,42387,890594.56,0.000679,"Central|North"
"oh","manual_offsets",1602,5,0,TRUE,3,9215,22839,25016913.18,0.022867,"Northeast|Southeast"
"ok","manual_offsets",77,4,0,TRUE,0,0,0,0,0,""
"or","manual_offsets",212,4,0,TRUE,0,0,0,1334279.89,0.000523,"South|West"
"pa","manual_offsets",2572,6,0,TRUE,6,19847,29696,0,0,""
"ri","manual_offsets",5,3,0,TRUE,0,0,0,0,0,""
"sc","manual_offsets",299,4,0,TRUE,2,15332,38094,0,0,""
"sd","manual_offsets",66,3,0,TRUE,0,0,0,0,0,""
"tn","manual_offsets",844,3,0,TRUE,2,16308,46223,0,0,""
"tx","manual_offsets",862,6,0,TRUE,5,37357,96274,2560643.85,0.000368,"East|NorthCentral"
"ut","manual_offsets",93,4,0,TRUE,0,0,0,0,0,""
"va","manual_offsets",582,5,0,TRUE,2,14486,64727,425833691.61,0.368761,"Northern|Valley"
"vt","manual_offsets",14,3,0,TRUE,0,0,0,0,0,""
"wa","manual_offsets",242,4,0,TRUE,3,9426,16396,10400792.08,0.005629,"South|West"
"wi","manual_offsets",72,4,0,TRUE,0,0,0,0,0,""
"wv","manual_offsets",55,3,0,TRUE,0,0,0,27205908.6,0.043393,"Central|East"
"wy","manual_offsets",23,3,0,TRUE,0,0,0,0,0,""
