"state","stage_formula","features_formula","regions_formula","invalid_formula","has_offset_file_formula","nonzero_offsets_formula","mean_offset_m_formula","max_offset_m_formula","max_overlap_m2_formula","max_overlap_pct_formula","overlap_pair_formula","stage_manual","features_manual","regions_manual","invalid_manual","has_offset_file_manual","nonzero_offsets_manual","mean_offset_m_manual","max_offset_m_manual","max_overlap_m2_manual","max_overlap_pct_manual","overlap_pair_manual","overlap_delta_pct","status"
"pa","formula",2572,6,0,TRUE,6,19847,29696,870149042.18,0.741599,"Central|Northeast","manual_offsets",2572,6,0,TRUE,6,19847,29696,0,0,"",-0.741599,"ok"
"ri","formula",5,3,0,TRUE,0,0,0,0,0,"","manual_offsets",5,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"sc","formula",299,4,0,TRUE,2,15332,38094,841704898.36,1.015423,"Central|Northwest","manual_offsets",299,4,0,TRUE,2,15332,38094,0,0,"",-1.015423,"ok"
"sd","formula",66,3,0,TRUE,0,0,0,0,0,"","manual_offsets",66,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"tn","formula",844,3,0,TRUE,2,16308,46223,3273625606.55,2.999703,"Middle|West","manual_offsets",844,3,0,TRUE,2,16308,46223,0,0,"",-2.999703,"ok"
"tx","formula",862,6,0,TRUE,5,37357,96274,4251879267.46,0.610562,"Central|NorthCentral","manual_offsets",862,6,0,TRUE,5,37357,96274,2560643.85,0.000368,"East|NorthCentral",-0.610194,"ok"
"ut","formula",93,4,0,TRUE,0,0,0,0,0,"","manual_offsets",93,4,0,TRUE,0,0,0,0,0,"",0,"ok"
"va","formula",582,5,0,TRUE,2,14486,64727,1438969928.78,1.246111,"Southwest|Tidewater","manual_offsets",582,5,0,TRUE,2,14486,64727,425833691.61,0.368761,"Northern|Valley",-0.87735,"ok"
"vt","formula",14,3,0,TRUE,0,0,0,0,0,"","manual_offsets",14,3,0,TRUE,0,0,0,0,0,"",0,"ok"
"wa","formula",242,4,0,TRUE,3,9426,16396,134275792.01,0.07267,"Central|East","manual_offsets",242,4,0,TRUE,3,9426,16396,10400792.08,0.005629,"South|West",-0.067041,"ok"
"wi","formula",72,4,0,TRUE,0,0,0,0,0,"","manual_offsets",72,4,0,TRUE,0,0,0,0,0,"",0,"ok"
"wv","formula",55,3,0,TRUE,0,0,0,27205908.6,0.043393,"Central|East","manual_offsets",55,3,0,TRUE,0,0,0,27205908.6,0.043393,"Central|East",0,"ok"
"wy","formula",23,3,0,TRUE,0,0,0,0,0,"","manual_offsets",23,3,0,TRUE,0,0,0,0,0,"",0,"ok"
